OBJECTID,ain,ASI_Status,situsaddress,situscity,situszip,LV_IV_Ratio,YearBuiltMax,usecode,usetype,usedescription,Vacant_Use,Publicly_Owned,unitstotal,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,SP_LUP1,SP_LUP_Desc1,PctSpLupArea1,SP_LUP2,SP_LUP_Desc2,PctSpLupArea2,SP_LUP3,SP_LUP_Desc3,PctSpLupArea3,Acres,LUP_Units_Total,LUP_MinDens,LUP_MaxDens,Site_Status,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Lot_Size_Consolidated,Lot_Consolidation_Notes,Consolidation_Adj_APNs,Previous_HE,Shape__Area,Shape__Length
66,8276006022,Nonvacant,19208 COLIMA RD,ROWLAND HEIGHTS CA,91748-3004,0.690909,1974,2100,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-1,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,0.50306648,26,20 du/net ac,50 du/net ac,Available,7,7,0,0,14,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,21913.57617,582.6778766
67,6086009009,Nonvacant,12600 S MAIN ST,LOS ANGELES CA,90061-2327,0.37115027,1947,2600,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non Vacant Use,NO - Privately-Owned,0,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,C-2,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.50252479,26,20 du/net ac,50 du/net ac,Available,7,7,0,0,14,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,21889.98047,586.6206095
68,8253001007,Nonvacant,2010 BATSON AVE   BLD A,ROWLAND HEIGHTS CA,91748-3544,0.93140245,1979,501,Residential,Five or more apartments,Non Vacant Use,NO - Privately-Owned,175,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,R-3,100,,0,,0,U5,100,,0,,0,,,0,,,0,,,0,6.09314591,305,22.1 du/gross ac,35 du/gross ac,Available,42,42,0,0,84,VL/L,,,,,Not Used in Prior Housing Element,265417.4375,2568.199677
69,8761012007,Nonvacant,18837 COLIMA RD,LA PUENTE CA,91748-2940,0.81100019,1971,2600,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-2-BE,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,0.77525372,39,20 du/net ac,50 du/net ac,Available,11,10,0,0,21,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,33770.05273,743.3659994
70,8295012158,Nonvacant,17100 COLIMA RD,HACIENDA HEIGHTS CA,91745-6768,0.44660177,1986,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,C-2,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,5.19429165,156,18 du/net ac,30 du/net ac,Available,41,41,0,0,82,VL/L,,,,,Not Used in Prior Housing Element,226263.3428,3081.015501
71,2826085008,Nonvacant,24949 PICO CANYON RD,STEVENSON RANCH CA,91381-1708,2.05607437,1999,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non Vacant Use,NO - Privately-Owned,0,5,Santa Clarita Valley,Santa Clarita Valley Planning Area,SANTA CLARITA VALLEY,Santa Clarita Valley Area Plan,C-3-DP,100,,0,,0,CM,100,,0,,0,,,0,,,0,,,0,0.63069,32,18 du/net ac,50 du/net ac,Available,11,11,0,0,22,VL/L,,,,,Not Used in Prior Housing Element,27472.85645,787.0163691
72,8270023025,Nonvacant,1940 FULLERTON RD,ROWLAND HEIGHTS CA,91748-3327,0.4234607,1974,501,Residential,Five or more apartments,Non Vacant Use,NO - Privately-Owned,126,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,R-3,100,,0,,0,U5,100,,0,,0,,,0,,,0,,,0,4.26697167,214,22.1 du/gross ac,35 du/gross ac,Available,29,28,0,0,57,VL/L,,,,,Not Used in Prior Housing Element,185869.2861,1781.774274
73,2826085131,Nonvacant,24955 PICO CANYON RD,STEVENSON RANCH CA,91381-1708,0.75374252,1999,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non Vacant Use,NO - Privately-Owned,0,5,Santa Clarita Valley,Santa Clarita Valley Planning Area,SANTA CLARITA VALLEY,Santa Clarita Valley Area Plan,C-3-DP,100,,0,,0,CM,100,,0,,0,,,0,,,0,,,0,2.93529786,147,18 du/net ac,50 du/net ac,Available,49,49,0,0,98,VL/L,,,,,Not Used in Prior Housing Element,127861.5742,1726.326724
74,8226022042,Nonvacant,10701 LA MIRADA BLVD,WHITTIER CA,90604-1522,4.666707,1966,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,C-2-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,1.61306152,81,20 du/net ac,50 du/net ac,Available,22,21,0,0,43,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,70264.95898,1247.418903
75,8270017024,Nonvacant,18250 COLIMA RD,ROWLAND HEIGHTS CA,91748-2602,0.50209173,2002,1700,Commercial,Office Buildings,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-3-BE,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,0.54875123,28,20 du/net ac,50 du/net ac,Available,8,7,0,0,15,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,23903.60156,607.2886909
